Rohvariablenname,Tatsächlich verwendete Spalte,Kategorie,Unterkategorie,Merkmal,Hypothese,Haupttext,Anhang,Technisch/auswertungsbezogen,Reihenfolge,Datentyp,Im Datensatz verfügbar
body_pose__pose_confidence,body_pose__pose_confidence,Emotion und Präsenz,Körperpose,Pose Confidence,H4,ja,ja,nein,405,numeric,ja
body_pose__pose_orientation,body_pose__pose_orientation,Emotion und Präsenz,Körperpose,Dominante Körperpose,H4,ja,ja,nein,406,categorical,ja
body_pose__detected_pose_frames,body_pose__detected_pose_frames,Emotion und Präsenz,Körperpose,Anzahl erkannter Pose-Frames,H4,nein,ja,ja,407,numeric,ja
structural_personen_anzahl__personen_anzahl,structural_personen_anzahl__personen_anzahl,Emotion und Präsenz,Personenanzahl,Personenanzahl,H4,ja,ja,nein,408,numeric,ja
structural_personen_anzahl__personen_anzahl_max,structural_personen_anzahl__personen_anzahl_max,Emotion und Präsenz,Personenanzahl,Maximale Personenanzahl,H4,ja,ja,nein,409,numeric,ja
structural_personen_anzahl__detected_person_frames,structural_personen_anzahl__detected_person_frames,Emotion und Präsenz,Personenanzahl,Anzahl erkannter Personenframes,H4,nein,ja,ja,410,numeric,ja
angle_face_orientation__face_pitch_mean,angle_face_orientation__face_pitch_mean,Emotion und Präsenz,Gesichtsorientierung,Face Pitch,H4,ja,ja,nein,411,numeric,ja
angle_face_orientation__face_yaw_mean,angle_face_orientation__face_yaw_mean,Emotion und Präsenz,Gesichtsorientierung,Face Yaw,H4,ja,ja,nein,412,numeric,ja
angle_face_orientation__angle_face_orientation,angle_face_orientation__angle_face_orientation,Emotion und Präsenz,Gesichtsorientierung,Kategoriale Gesichtsorientierung,H4,ja,ja,nein,413,categorical,ja
angle_face_orientation__detected_face_frames,angle_face_orientation__detected_face_frames,Emotion und Präsenz,Gesichtsorientierung,Anzahl erkannter Gesichtsframes,H4,nein,ja,ja,414,numeric,ja
structural_personen_anzahl__sampled_frames_personen_anzahl,structural_personen_anzahl__sampled_frames_personen_anzahl,Emotion und Präsenz,Personenanzahl,Gesampelte Frames der Personenanalyse,H4,nein,ja,ja,455,numeric,ja
caption_length_chars,caption_length_chars,Textuelle Merkmale,Textuelle Merkmale,Caption-Länge Zeichen,H5,ja,ja,nein,501,numeric,ja
caption_length_words,caption_length_words,Textuelle Merkmale,Textuelle Merkmale,Caption-Länge Wörter,H5,ja,ja,nein,502,numeric,ja
